,Factor,View,Group,R2
229,Factor5,CD45-,single_group,15.714874749772834
230,Factor5,hC04_CD8_Temra-CX3CR1|RGS1,single_group,1.368539321192641
231,Factor5,hC05_CD8_Tem-GZMK,single_group,7.1467998415946195
232,Factor5,hC06_CD8_Tem-CXCR5,single_group,4.094371853290413
233,Factor5,hC07_CD8_IEL-CD160,single_group,5.297180922856337
234,Factor5,hC08_CD8_Trm-CD6,single_group,1.9936525292138518
235,Factor5,hC10_CD8_Trm-KLRB1,single_group,1.5807004515490441
236,Factor5,hC11_CD8_Tex-LAYN,single_group,5.4728673110690735
237,Factor5,hC12_CD8-HSPA1A,single_group,0.8421181555588908
238,Factor5,hC14_CD8_MAIT-SLC4A10,single_group,0.6774727088051491
239,Factor5,hC15_CD4_Tn-CCR7,single_group,1.7250723878239338
240,Factor5,hC16_CD4_Tcm-ANXA1,single_group,0.2131412138055122
241,Factor5,hC18_CD4_Temra-GNLY|RGS1,single_group,0.14017130717286497
242,Factor5,hC19_CD4_Tn-TCF7,single_group,0.6490742107880698
243,Factor5,hC20_CD4_Tfh-CXCR5,single_group,4.5508817148233405
244,Factor5,hC21_CD4_Tem-GZMK,single_group,1.701098498275111
245,Factor5,hC22_CD4_Trm-CXCR6,single_group,1.4448317065257732
246,Factor5,hC24_CD4_Th1-CXCL13,single_group,10.760435885937259
247,Factor5,hC26_CD4_Tfr-IL10,single_group,7.357595412514273
248,Factor5,hC27_CD4_Treg-CTLA4,single_group,15.292071148279884
249,Factor5,hC28_CD4_HSPA1A,single_group,8.650050914731743
250,Factor5,hC29_CD4_MKI67,single_group,3.1519088802221873
251,Factor5,hC30_NKT-FCGR3A,single_group,1.9664811745475075
252,Factor5,hC32_gdT-TRDV2,single_group,0.709182387901075
253,Factor5,hC35_cDC1-CLEC9A,single_group,9.419631579303744
254,Factor5,hC37_cDC2-CD1C,single_group,2.1804079854067626
255,Factor5,hC38_cDC2-C1QC,single_group,23.466060504467436
256,Factor5,hC39_cDC2-FCN1,single_group,1.5447606922797674
257,Factor5,hC40_cDC2-TIMP1,single_group,3.8394324047343553
258,Factor5,hC41_cDC2-CD3E,single_group,5.821348465353148
259,Factor5,hC42_pDC-LILRA4,single_group,3.0986510499281916
260,Factor5,hC46_Mono-CD14|FCGR3A,single_group,0.2303310303757522
261,Factor5,hC48_Mph-FCN1,single_group,3.250474836439221
262,Factor5,hC49_Mph-NLRP3,single_group,4.104716343853177
263,Factor5,hC50_Mph-IL1B,single_group,22.39675050077953
264,Factor5,hC53_Mph-C1QC,single_group,6.621862112215037
265,Factor5,hC54_Mph-SPP1,single_group,0.023330959846901145
266,Factor5,hC56_Mph-CD3E,single_group,8.727553207383465
267,Factor5,hC57_Mast-CPA3,single_group,16.30496815337147
268,Factor5,hC58_ILC3-KIT,single_group,7.458150873179569
269,Factor5,hC59_NK-FCGR3A,single_group,13.315132830225362
270,Factor5,hC61_NK-FCGR3A|IFNG,single_group,1.0700842026743818
271,Factor5,hC62_NK-DUSP4,single_group,0.3698366683717702
272,Factor5,hC63_NK-CD160,single_group,0.22706445649190998
273,Factor5,hC64_NK-CD160|IFNG,single_group,0.08470046820951982
274,Factor5,hC67_NK-IL7R,single_group,0.7596348669890118
275,Factor5,hC68_B-CD79B,single_group,1.836841578297177
276,Factor5,hC69_B-CD55,single_group,0.030611091197674245
277,Factor5,hC70_B-GPR183,single_group,1.2969841534411275
278,Factor5,hC71_B-HSPA1A,single_group,2.6582448386543667
279,Factor5,hC72_B-IGLC3,single_group,0.8811339376795679
280,Factor5,hC74_B-MKI67,single_group,37.887894028089384
281,Factor5,hC75_B-CD3E,single_group,2.508364784479644
282,Factor5,hC76_plasmaB-IGHA1,single_group,6.581196851358529
283,Factor5,hC77_plasmaB-IGHA1|IGLC2,single_group,0.8307068274860274
284,Factor5,hC78_plasmaB-IGHG1,single_group,6.962308281218387
285,Factor6,CD3D-CD4+,single_group,11.446440093897415
286,Factor6,CD45-,single_group,7.373002905440462
287,Factor6,hC04_CD8_Temra-CX3CR1|RGS1,single_group,1.5760529684745173
288,Factor6,hC05_CD8_Tem-GZMK,single_group,9.324659622211918
289,Factor6,hC06_CD8_Tem-CXCR5,single_group,2.1179113700693475
290,Factor6,hC07_CD8_IEL-CD160,single_group,0.10809248509325853
291,Factor6,hC08_CD8_Trm-CD6,single_group,1.8991643528669777
292,Factor6,hC10_CD8_Trm-KLRB1,single_group,3.3907682960715
293,Factor6,hC11_CD8_Tex-LAYN,single_group,3.2933967615221382
294,Factor6,hC12_CD8-HSPA1A,single_group,3.7167119170368745
295,Factor6,hC14_CD8_MAIT-SLC4A10,single_group,3.68639298073824
296,Factor6,hC15_CD4_Tn-CCR7,single_group,10.514245488827934
297,Factor6,hC16_CD4_Tcm-ANXA1,single_group,17.65376377035215
298,Factor6,hC18_CD4_Temra-GNLY|RGS1,single_group,0.424112237897889
299,Factor6,hC19_CD4_Tn-TCF7,single_group,1.2915607754592329
300,Factor6,hC20_CD4_Tfh-CXCR5,single_group,6.484222305129439
301,Factor6,hC21_CD4_Tem-GZMK,single_group,15.161891438185704
302,Factor6,hC22_CD4_Trm-CXCR6,single_group,5.795607518898138
303,Factor6,hC24_CD4_Th1-CXCL13,single_group,13.685831622330202
304,Factor6,hC26_CD4_Tfr-IL10,single_group,0.1934375202318317
305,Factor6,hC27_CD4_Treg-CTLA4,single_group,5.967552298329437
306,Factor6,hC28_CD4_HSPA1A,single_group,2.24091290426347
307,Factor6,hC29_CD4_MKI67,single_group,3.9974748430452123
308,Factor6,hC30_NKT-FCGR3A,single_group,0.22826084722623596
309,Factor6,hC32_gdT-TRDV2,single_group,0.7748819539274754
310,Factor6,hC35_cDC1-CLEC9A,single_group,0.15186604263608405
311,Factor6,hC37_cDC2-CD1C,single_group,1.1602014078999634
312,Factor6,hC38_cDC2-C1QC,single_group,1.3191678021634567
313,Factor6,hC39_cDC2-FCN1,single_group,3.352279782401768
314,Factor6,hC40_cDC2-TIMP1,single_group,3.9769623984490687
315,Factor6,hC41_cDC2-CD3E,single_group,1.8605322736600205
316,Factor6,hC42_pDC-LILRA4,single_group,1.0028507699900713
317,Factor6,hC46_Mono-CD14|FCGR3A,single_group,0.15136681396050733
318,Factor6,hC48_Mph-FCN1,single_group,0.056355749496750374
319,Factor6,hC49_Mph-NLRP3,single_group,5.0838416722904896
320,Factor6,hC50_Mph-IL1B,single_group,0.8200148152446629
321,Factor6,hC53_Mph-C1QC,single_group,0.24875433491213794
322,Factor6,hC54_Mph-SPP1,single_group,22.551622217273547
323,Factor6,hC56_Mph-CD3E,single_group,2.152247364195803
324,Factor6,hC57_Mast-CPA3,single_group,1.7798559593960706
325,Factor6,hC58_ILC3-KIT,single_group,0.4884784434040279
326,Factor6,hC59_NK-FCGR3A,single_group,1.6609518427034398
327,Factor6,hC61_NK-FCGR3A|IFNG,single_group,0.49560506858716824
328,Factor6,hC62_NK-DUSP4,single_group,7.5813133959656165
329,Factor6,hC63_NK-CD160,single_group,0.24400062480168794
330,Factor6,hC64_NK-CD160|IFNG,single_group,3.8636780725886277
331,Factor6,hC67_NK-IL7R,single_group,12.960373408400583
332,Factor6,hC68_B-CD79B,single_group,1.6239023111931816
333,Factor6,hC69_B-CD55,single_group,0.2240088471043178
334,Factor6,hC70_B-GPR183,single_group,5.736279079668305
335,Factor6,hC71_B-HSPA1A,single_group,3.614910873148336
336,Factor6,hC72_B-IGLC3,single_group,0.2477142048837755
337,Factor6,hC74_B-MKI67,single_group,0.1911880873081917
338,Factor6,hC75_B-CD3E,single_group,2.073954706162573
339,Factor6,hC76_plasmaB-IGHA1,single_group,2.0350695914406414
340,Factor6,hC77_plasmaB-IGHA1|IGLC2,single_group,4.137099379506203
341,Factor6,hC78_plasmaB-IGHG1,single_group,2.5082139965924233
342,Factor7,CD3D-CD4+,single_group,4.2797358776392125
343,Factor7,CD45-,single_group,0.03437267353846307
344,Factor7,hC04_CD8_Temra-CX3CR1|RGS1,single_group,2.2766418005541245
345,Factor7,hC05_CD8_Tem-GZMK,single_group,6.800217109153717
346,Factor7,hC06_CD8_Tem-CXCR5,single_group,3.1909794586258533
347,Factor7,hC07_CD8_IEL-CD160,single_group,6.9537845117847885
348,Factor7,hC08_CD8_Trm-CD6,single_group,7.466113925453122
349,Factor7,hC10_CD8_Trm-KLRB1,single_group,3.276168155703152
350,Factor7,hC11_CD8_Tex-LAYN,single_group,4.438276726204638
351,Factor7,hC12_CD8-HSPA1A,single_group,0.7992343154369141
352,Factor7,hC14_CD8_MAIT-SLC4A10,single_group,6.476921992204221
353,Factor7,hC15_CD4_Tn-CCR7,single_group,0.09137623199934053
354,Factor7,hC16_CD4_Tcm-ANXA1,single_group,1.254218716537947
355,Factor7,hC18_CD4_Temra-GNLY|RGS1,single_group,0.5908195150456264
356,Factor7,hC19_CD4_Tn-TCF7,single_group,3.7233630433764153
357,Factor7,hC20_CD4_Tfh-CXCR5,single_group,1.687893576777677
358,Factor7,hC21_CD4_Tem-GZMK,single_group,4.38735717981984
359,Factor7,hC22_CD4_Trm-CXCR6,single_group,5.093242335203751
360,Factor7,hC24_CD4_Th1-CXCL13,single_group,6.546349450448274
361,Factor7,hC26_CD4_Tfr-IL10,single_group,4.920734866003573
362,Factor7,hC27_CD4_Treg-CTLA4,single_group,8.319977795078637
363,Factor7,hC28_CD4_HSPA1A,single_group,3.810299293327024
364,Factor7,hC29_CD4_MKI67,single_group,9.850319913376149
365,Factor7,hC30_NKT-FCGR3A,single_group,2.479613230807942
366,Factor7,hC32_gdT-TRDV2,single_group,2.9756990595648625
367,Factor7,hC35_cDC1-CLEC9A,single_group,2.979392390037683
368,Factor7,hC37_cDC2-CD1C,single_group,2.3539620252955418
369,Factor7,hC38_cDC2-C1QC,single_group,0.3510077866330952
370,Factor7,hC39_cDC2-FCN1,single_group,2.568332157508646
371,Factor7,hC40_cDC2-TIMP1,single_group,0.09710157724684976
372,Factor7,hC41_cDC2-CD3E,single_group,1.844438486947375
373,Factor7,hC42_pDC-LILRA4,single_group,5.005129535900188
374,Factor7,hC46_Mono-CD14|FCGR3A,single_group,7.294587641150585
375,Factor7,hC48_Mph-FCN1,single_group,1.8856490248968627
376,Factor7,hC49_Mph-NLRP3,single_group,2.9305185638536013
377,Factor7,hC50_Mph-IL1B,single_group,1.0668519634799756
378,Factor7,hC53_Mph-C1QC,single_group,0.43828756278142533
379,Factor7,hC54_Mph-SPP1,single_group,0.19176826031302996
380,Factor7,hC56_Mph-CD3E,single_group,0.6105029698450171
381,Factor7,hC57_Mast-CPA3,single_group,3.107133203923629
382,Factor7,hC58_ILC3-KIT,single_group,4.09813036727833
383,Factor7,hC59_NK-FCGR3A,single_group,0.18898348589743152
384,Factor7,hC61_NK-FCGR3A|IFNG,single_group,5.922407432871291
385,Factor7,hC62_NK-DUSP4,single_group,5.65920907270232
386,Factor7,hC63_NK-CD160,single_group,13.129876252967298
387,Factor7,hC64_NK-CD160|IFNG,single_group,19.337591595890714
388,Factor7,hC67_NK-IL7R,single_group,6.66101533820177
389,Factor7,hC68_B-CD79B,single_group,0.8808697171072244
390,Factor7,hC69_B-CD55,single_group,5.256558958946167
391,Factor7,hC70_B-GPR183,single_group,4.3434771271870565
392,Factor7,hC71_B-HSPA1A,single_group,1.1799334512485493
393,Factor7,hC72_B-IGLC3,single_group,0.7158370931166669
394,Factor7,hC74_B-MKI67,single_group,9.231348328020806
395,Factor7,hC75_B-CD3E,single_group,1.5527510501814001
396,Factor7,hC76_plasmaB-IGHA1,single_group,0.9654709223104407
397,Factor7,hC77_plasmaB-IGHA1|IGLC2,single_group,0.39531426369353584
398,Factor7,hC78_plasmaB-IGHG1,single_group,0.2674013813999787
399,Factor8,CD3D-CD4+,single_group,1.0861434511094337
400,Factor8,CD45-,single_group,0.4291026211184046
401,Factor8,hC04_CD8_Temra-CX3CR1|RGS1,single_group,4.6458582513509095
402,Factor8,hC05_CD8_Tem-GZMK,single_group,1.0402385793760072
403,Factor8,hC06_CD8_Tem-CXCR5,single_group,5.754172896581733
404,Factor8,hC07_CD8_IEL-CD160,single_group,1.1910323422956504
405,Factor8,hC08_CD8_Trm-CD6,single_group,1.827772943785999
406,Factor8,hC10_CD8_Trm-KLRB1,single_group,4.21634092796026
407,Factor8,hC11_CD8_Tex-LAYN,single_group,1.8821627474229774
408,Factor8,hC12_CD8-HSPA1A,single_group,3.883323239332903
409,Factor8,hC14_CD8_MAIT-SLC4A10,single_group,2.108792520796343
410,Factor8,hC15_CD4_Tn-CCR7,single_group,0.18411895319846439
411,Factor8,hC16_CD4_Tcm-ANXA1,single_group,2.4323131356119965
412,Factor8,hC18_CD4_Temra-GNLY|RGS1,single_group,4.761490828076919
413,Factor8,hC19_CD4_Tn-TCF7,single_group,0.6688231202899297
414,Factor8,hC20_CD4_Tfh-CXCR5,single_group,4.573323453318745
415,Factor8,hC21_CD4_Tem-GZMK,single_group,5.548866483616999
416,Factor8,hC22_CD4_Trm-CXCR6,single_group,2.344640629677719
417,Factor8,hC24_CD4_Th1-CXCL13,single_group,1.1958704019486288
418,Factor8,hC26_CD4_Tfr-IL10,single_group,0.8559169330900507
419,Factor8,hC27_CD4_Treg-CTLA4,single_group,4.8450714961117525
420,Factor8,hC28_CD4_HSPA1A,single_group,2.7153020784802195
421,Factor8,hC29_CD4_MKI67,single_group,1.9549800654696359
422,Factor8,hC30_NKT-FCGR3A,single_group,5.4891889299847785
423,Factor8,hC32_gdT-TRDV2,single_group,1.6729608700775889
424,Factor8,hC35_cDC1-CLEC9A,single_group,8.352945441470904
425,Factor8,hC37_cDC2-CD1C,single_group,5.392625916314719
426,Factor8,hC38_cDC2-C1QC,single_group,0.7671129845023272
427,Factor8,hC39_cDC2-FCN1,single_group,1.8082150641821615
428,Factor8,hC40_cDC2-TIMP1,single_group,6.3683168774882
429,Factor8,hC41_cDC2-CD3E,single_group,2.5632025628343214
430,Factor8,hC42_pDC-LILRA4,single_group,12.952599029231227
431,Factor8,hC46_Mono-CD14|FCGR3A,single_group,0.19752502254870574
432,Factor8,hC48_Mph-FCN1,single_group,2.6641527396798925
433,Factor8,hC49_Mph-NLRP3,single_group,0.28425698306018266
434,Factor8,hC50_Mph-IL1B,single_group,0.15131540330926008
435,Factor8,hC53_Mph-C1QC,single_group,0.593420671389977
436,Factor8,hC54_Mph-SPP1,single_group,2.676981067845119
437,Factor8,hC56_Mph-CD3E,single_group,4.351065247299502
438,Factor8,hC57_Mast-CPA3,single_group,2.3432899278457375
439,Factor8,hC58_ILC3-KIT,single_group,0.3109882605370373
440,Factor8,hC59_NK-FCGR3A,single_group,6.375068716776299
441,Factor8,hC61_NK-FCGR3A|IFNG,single_group,13.865384234895062
442,Factor8,hC62_NK-DUSP4,single_group,3.687418926404551
443,Factor8,hC63_NK-CD160,single_group,6.601444946664337
444,Factor8,hC64_NK-CD160|IFNG,single_group,0.8564886465933785
445,Factor8,hC67_NK-IL7R,single_group,1.5798751986152548
446,Factor8,hC68_B-CD79B,single_group,3.6509731900600584
447,Factor8,hC69_B-CD55,single_group,1.9638248488685672
448,Factor8,hC70_B-GPR183,single_group,2.6636637295756604
449,Factor8,hC71_B-HSPA1A,single_group,0.35300375729739875
450,Factor8,hC72_B-IGLC3,single_group,0.05028566643473509
451,Factor8,hC74_B-MKI67,single_group,0.03499564692174273
452,Factor8,hC75_B-CD3E,single_group,1.861829030853468
453,Factor8,hC76_plasmaB-IGHA1,single_group,6.2446994135986085
454,Factor8,hC77_plasmaB-IGHA1|IGLC2,single_group,0.0708299136028101
455,Factor8,hC78_plasmaB-IGHG1,single_group,2.809862409349262
